Date,Track,Race Number,Distance,Surface,#1 Wager Type,#1 Wager Unit,#1 Number Right,#1 Wager Payout,#1 Winning Pgm Numbers,#1 Total Pool
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,GP,10,8.50,Turf,Pick 3,1.00,3,159.40,1-1-12,130725.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,1,6.00,Dirt,Exacta,1.00,,23.70,6-3,78830.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,2,8.00,Dirt,Daily Double,1.00,,29.40,6-3,32417.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,3,6.00,Dirt,Pick 3,1.00,3,111.90,6-3-5,29664.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,4,6.00,Dirt,Pick 3,1.00,3,43.80,3-5-3/8,14782.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,5,6.00,Dirt,Pick 3,1.00,3,74.50,5-3/8-6,20063.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,6,6.00,Dirt,Pick 3,1.00,3,92.00,3/8-6-4,12808.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,7,8.00,Dirt,Pick 3,1.00,3,330.70,6-4-9,20954.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,8,8.00,Dirt,Pick 3,1.00,3,329.10,4-9-7,12808.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/22/2026,OP,9,6.00,Dirt,Pick 3,3.00,3,747.00,9-7-2,62920.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,1,6.50,Dirt,Exacta,2.00,,15.60,7-6,76699.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,2,8.32,Dirt,Daily Double,2.00,,28.80,7-5,30970.00
03/24/2026,PHA,3,6.00,Dirt,Pick 3,1.00,3,75.60,7-5-5,37286.00
03/24/2026,PHA,3,6.00,Dirt,Pick 3,1.00,3,75.60,7-5-5,37286.00
03/24/2026,PHA,3,6.00,Dirt,Pick 3,1.00,3,75.60,7-5-5,37286.00
03/24/2026,PHA,3,6.00,Dirt,Pick 3,1.00,3,75.60,7-5-5,37286.00
03/24/2026,PHA,3,6.00,Dirt,Pick 3,1.00,3,75.60,7-5-5,37286.00
03/24/2026,PHA,3,6.00,Dirt,Pick 3,1.00,3,75.60,7-5-5,37286.00
03/24/2026,PHA,4,6.00,Dirt,Pick 3,1.00,3,88.40,5-5-3,11018.00
03/24/2026,PHA,4,6.00,Dirt,Pick 3,1.00,3,88.40,5-5-3,11018.00
03/24/2026,PHA,4,6.00,Dirt,Pick 3,1.00,3,88.40,5-5-3,11018.00
03/24/2026,PHA,4,6.00,Dirt,Pick 3,1.00,3,88.40,5-5-3,11018.00
03/24/2026,PHA,4,6.00,Dirt,Pick 3,1.00,3,88.40,5-5-3,11018.00
03/24/2026,PHA,4,6.00,Dirt,Pick 3,1.00,3,88.40,5-5-3,11018.00
03/24/2026,PHA,5,6.00,Dirt,Pick 3,1.00,3,173.00,5-3-1,27728.00
